Ссылка на Решение об одностороннем отказе от исполнения контракта,Ссылка на контракт,Реестровый номер контракта,Цена контракта,Заключение контракта,Срок исполнения,Размещен контракт в реестре контрактов,Обновлен контракт в реестре контрактов,Полное наименование заказчика,Сокращенное наименование заказчика,ИНН заказчика,Наименование поставщика,Сокращенное наименование поставщика,ИНН поставщика,Адрес поставщика,Телефон поставщика,Почта Поставщика
https://zakupki.gov.ru//epz/dizk/dizkCard/generalInformation.html?dizkId=166630,https://zakupki.gov.ru/pgz/public/action/contracts/info/common_info/show?source=epz&contractReestrNumber=1770801462021000100,17708014620 21 000100,"329 948,67 ₽",14.09.21,31.12.21,15.09.21,14.09.21,ЦЕНТРАЛЬНАЯ БАЗОВАЯ ТАМОЖНЯ,ЦЕНТРАЛЬНАЯ БАЗОВАЯ ТАМОЖНЯ,7708014620,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НОВОЕ ИЗМЕРЕНИЕ"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НОВОЕ ИЗМЕРЕНИЕ"")","ООО ""НОВОЕ ИЗМЕРЕНИЕ""",2130205115,"428038, ЧУВАШИЯ ЧУВАШСКАЯ РЕСПУБЛИКА - 21, Г ЧЕБОКСАРЫ, УЛ ГРАЖДАНСКАЯ, ДОМ 47, ПОМЕЩЕНИЕ 3",7-906-3848474,subaruturbo@rambler.ru
https://zakupki.gov.ru//epz/dizk/dizkCard/generalInformation.html?dizkId=166622,https://zakupki.gov.ru/pgz/public/action/contracts/info/common_info/show?source=epz&contractReestrNumber=1770621374021000069,17706213740 21 000069,"667 722,97 ₽",31.08.21,10.11.21,07.09.21,06.09.21,БЮРО СПЕЦИАЛЬНЫХ ТЕХНИЧЕСКИХ МЕРОПРИЯТИЙ МИНИСТЕРСТВА ВНУТРЕННИХ ДЕЛ РОССИЙСКОЙ ФЕДЕРАЦИИ,БСТМ МВД РОССИИ,7706213740,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭЛИТ КОМФОРТ"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭЛИТ КОМФОРТ"")","ООО ""ЭЛИТ КОМФОРТ""",6229092676,"390010, ОБЛ РЯЗАНСКАЯ 62, Г РЯЗАНЬ, УЛ ПИРОГОВА, ДОМ 8, ПОМ/ОФ Н17/2",7-952-1255173,elitekomfort@yandex.ru
https://zakupki.gov.ru//epz/dizk/dizkCard/generalInformation.html?dizkId=166617,https://zakupki.gov.ru/pgz/public/action/contracts/info/common_info/show?source=epz&contractReestrNumber=1770405509420000594,17704055094 20 000594,"742 742,88 ₽",06.11.20,31.12.21,09.11.20,26.01.21,ФЕДЕРАЛЬНАЯ СЛУЖБА ОХРАНЫ РОССИЙСКОЙ ФЕДЕРАЦИИ,ФСО РОССИИ,7704055094,ГОРЛОВ ВЛАДИСЛАВ АРКАДЬЕВИЧИндивидуальный предприниматель,ИП ГОРЛОВ ВЛАДИСЛАВ АРКАДЬЕВИЧ,780451650266,Г САНКТ-ПЕТЕРБУРГ 78,7-964-3869434,contract21v@mail.ru
https://zakupki.gov.ru//epz/dizk/dizkCard/generalInformation.html?dizkId=166615,https://zakupki.gov.ru/pgz/public/action/contracts/info/common_info/show?source=epz&contractReestrNumber=1773204143121000045,17732041431 21 000045,"2 089 500,00 ₽",01.10.21,20.12.21,04.10.21,01.10.21,ВНУКОВСКАЯ ТАМОЖНЯ,ВНУКОВСКАЯ ТАМОЖНЯ,7732041431,РОЩИН ИВАН ПЕТРОВИЧИндивидуальный предприниматель,ИП РОЩИН ИВАН ПЕТРОВИЧ,420592682610,"ОБЛ МОСКОВСКАЯ 50, Г РАМЕНСКОЕ",7-925-7831121,Roschin_85@mail.ru
https://zakupki.gov.ru//epz/dizk/dizkCard/generalInformation.html?dizkId=166606,https://zakupki.gov.ru/pgz/public/action/contracts/info/common_info/show?source=epz&contractReestrNumber=1770913382121000047,17709133821 21 000047,"160 795,31 ₽",21.09.21,31.01.22,22.09.21,27.09.21,ГОСУДАРСТВЕННАЯ ФЕЛЬДЪЕГЕРСКАЯ СЛУЖБА РОССИЙСКОЙ ФЕДЕРАЦИИ,ГФС РОССИИ,7709133821,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НОВОЕ ИЗМЕРЕНИЕ"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НОВОЕ ИЗМЕРЕНИЕ"")","ООО ""НОВОЕ ИЗМЕРЕНИЕ""",2130205115,"428038, ЧУВАШИЯ ЧУВАШСКАЯ РЕСПУБЛИКА - 21, Г ЧЕБОКСАРЫ, УЛ ГРАЖДАНСКАЯ, ДОМ 47, ПОМЕЩЕНИЕ 3",8-906-3848474,Subaruturbo@rambler.ru
https://zakupki.gov.ru//epz/dizk/dizkCard/generalInformation.html?dizkId=166604,https://zakupki.gov.ru/pgz/public/action/contracts/info/common_info/show?source=epz&contractReestrNumber=1503103439021000071,15031034390 21 000071,"6 705 599,22 ₽",22.04.21,31.12.21,23.04.21,27.05.21,"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""НОГИНСКИЙ СПАСАТЕЛЬНЫЙ ЦЕНТР МИНИСТЕРСТВА РОССИЙСКОЙ ФЕДЕРАЦИИ ПО ДЕЛАМ ГРАЖДАНСКОЙ ОБОРОНЫ, ЧРЕЗВЫЧАЙНЫМ СИТУАЦИЯМ И ЛИКВИДАЦИИ ПОСЛЕДСТВИЙ СТИХИЙНЫХ БЕДСТВИЙ""","ФГКУ ""НОГИНСКИЙ СЦ МЧС РОССИИ""",5031034390,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТОПЛИВНАЯ НЕФТЯНАЯ КОМПАНИЯ НАФТА"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТОПЛИВНАЯ НЕФТЯНАЯ КОМПАНИЯ НАФТА"")","ООО ""ТОПЛИВНАЯ НЕФТЯНАЯ КОМПАНИЯ НАФТА""",5031099743,"142402, ОБЛ МОСКОВСКАЯ 50, Г НОГИНСК, УЛ ГАРАЖНАЯ, ДОМ 4, ОФИС 29",7-926-5453639,tnknafta@mail.ru
https://zakupki.gov.ru//epz/dizk/dizkCard/generalInformation.html?dizkId=166603,https://zakupki.gov.ru/pgz/public/action/contracts/info/common_info/show?source=epz&contractReestrNumber=1770929051021000035,17709290510 21 000035,"311 880,56 ₽",25.08.21,21.01.22,27.08.21,26.08.21,"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""ФЕДЕРАЛЬНЫЙ МЕДИЦИНСКИЙ ЦЕНТР"" ФЕДЕРАЛЬНОГО АГЕНТСТВА ПО УПРАВЛЕНИЮ ГОСУДАРСТВЕННЫМ ИМУЩЕСТВОМ","ФГБУ ""ФЕДЕРАЛЬНЫЙ МЕДИЦИНСКИЙ ЦЕНТР"" РОСИМУЩЕСТВА",7709290510,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СМС"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СМС"")","ООО ""СМС""",7715918352,"124489, Г МОСКВА 77, Г ЗЕЛЕНОГРАД, КОРПУС 602, ПОМ. III КОМ. 1-6",7-499-3919562,sms0412@list.ru
https://zakupki.gov.ru//epz/dizk/dizkCard/generalInformation.html?dizkId=166601,https://zakupki.gov.ru/pgz/public/action/contracts/info/common_info/show?source=epz&contractReestrNumber=1770929051021000040,17709290510 21 000040,"341 603,61 ₽",30.08.21,24.01.22,03.09.21,02.09.21,"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""ФЕДЕРАЛЬНЫЙ МЕДИЦИНСКИЙ ЦЕНТР"" ФЕДЕРАЛЬНОГО АГЕНТСТВА ПО УПРАВЛЕНИЮ ГОСУДАРСТВЕННЫМ ИМУЩЕСТВОМ","ФГБУ ""ФЕДЕРАЛЬНЫЙ МЕДИЦИНСКИЙ ЦЕНТР"" РОСИМУЩЕСТВА",7709290510,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МЕДТОРГСНАБ"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МЕДТОРГСНАБ"")","ООО ""МЕДТОРГСНАБ""",5720022381,"302009, ОБЛ ОРЛОВСКАЯ 57, Г ОРЁЛ, УЛ ГАЙДАРА, ДОМ 54, ОФИС 206",7-900-4840032,medtorgsnab@mail.ru
https://zakupki.gov.ru//epz/dizk/dizkCard/generalInformation.html?dizkId=166592,https://zakupki.gov.ru/pgz/public/action/contracts/info/common_info/show?source=epz&contractReestrNumber=3501901089021000028,35019010890 21 000028,"229 000,00 ₽",23.07.21,31.12.21,27.07.21,05.10.21,"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""БОГАТИЩЕВСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА""","МБОУ ""БОГАТИЩЕВСКАЯ СОШ""",5019010890,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КБК"" (ООО ""КБК"")","ООО ""КБК""",7811757073,"192019, Г. САНКТ-ПЕТЕРБУРГ 78, УЛ. 2-Й ЛУЧ, Д. 3, ЛИТЕРА А, ПОМЕЩ. 1-Н КОМ. 40",7-925-3399612,kbkltdspb@gmail.com
https://zakupki.gov.ru//epz/dizk/dizkCard/generalInformation.html?dizkId=166586,https://zakupki.gov.ru/pgz/public/action/contracts/info/common_info/show?source=epz&contractReestrNumber=2774394681021000083,27743946810 21 000083,"64 021 245,54 ₽",09.04.21,31.12.21,04.05.21,25.10.21,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА КОПТЕВО""","ГБУ ""ЖИЛИЩНИК РАЙОНА КОПТЕВО""",7743946810,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВС ГРУПП"" (ООО ""ВС ГРУПП"")","ООО ""ВС ГРУПП""",7720709763,"105264, Г МОСКВА 77, УЛ 10-Я ПАРКОВАЯ, ДОМ 18, КОМНАТА 5А",+7 (906) 718-61-38,vsgrupp2018@gmail.com
https://zakupki.gov.ru//epz/dizk/dizkCard/generalInformation.html?dizkId=166582,https://zakupki.gov.ru/pgz/public/action/contracts/info/common_info/show?source=epz&contractReestrNumber=3500506764021000074,35005067640 21 000074,"3 234 718,14 ₽",20.07.21,31.12.21,23.07.21,28.07.21,АДМИНИСТРАЦИЯ ГОРОДСКОГО ОКРУГА ВОСКРЕСЕНСК МОСКОВСКОЙ ОБЛАСТИ,АДМИНИСТРАЦИЯ ГОРОДСКОГО ОКРУГА ВОСКРЕСЕНСК,5005067640,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРАВИЛЬНЫЕ РЕШЕНИЯ"" (ООО ""ПРАВИЛЬНЫЕ РЕШЕНИЯ"")","ООО ""ПРАВИЛЬНЫЕ РЕШЕНИЯ""",5044119210,"141506, ОБЛ МОСКОВСКАЯ 50, Г СОЛНЕЧНОГОРСК, УЛ БАНКОВСКАЯ, ДОМ 15, КОМ/ПОМ 216",7-985-2141628,vreshenia@mail.ru
https://zakupki.gov.ru//epz/dizk/dizkCard/generalInformation.html?dizkId=166534,https://zakupki.gov.ru/pgz/public/action/contracts/info/common_info/show?source=epz&contractReestrNumber=1770751698820000010,17707516988 20 000010,"662 773,19 ₽",06.03.20,31.12.21,10.03.20,26.01.21,ФЕДЕРАЛЬНОЕ АГЕНТСТВО МОРСКОГО И РЕЧНОГО ТРАНСПОРТА,РОСМОРРЕЧФЛОТ,7707516988,"Специальное проектное и конструкторско-технологическое бюро «Ленгидросталь» - филиал АО «Трест Гидромонтаж» (СПКТБ «Ленгидросталь»"")","СПКТБ «Ленгидросталь»""",7734047608,"196084, г. Санкт-Петербург, ул. Заозерная, д. 1, литер «Б»",7-812-3311150,info@aothm.ru
