Реестровый номер контракта,Ссылка на контракт,Цена контракта,Полное наименование заказчика,Сокращенное наименование заказчика,ИНН,Дата начала исполнения контракта,Дата окончания исполнения контракта,Наименование поставщика,ИНН поставщика,Адрес поставщика,Телефон поставщика,Почта Поставщика,
№ 2771107626421000008,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2771107626421000008,"13 646 649,65 ₽","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ ""ДЕТСКАЯ СТОМАТОЛОГИЧЕСКАЯ ПОЛИКЛИНИКА № 52 ДЕПАРТАМЕНТА ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ""","ГБУЗ ""ДСП № 52 ДЗМ""",7711076264,10.11.21,31.12.22,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССЕТИ МОСКОВСКИЙ РЕГИОН"" (ПАО ""РОССЕТИ МОСКОВСКИЙ РЕГИОН"")",5036065113,"115114, Г МОСКВА 77, ПРОЕЗД 2-Й ПАВЕЛЕЦКИЙ, ДОМ 3, СТР 2",+7 (495) 669-03-00,sabanovaa@rossetimr.ru,
№ 2771904718421000510,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2771904718421000510,"1 458 560,34 ₽","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ ""ГОРОДСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА ИМЕНИ Д.Д. ПЛЕТНЁВА ДЕПАРТАМЕНТА ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ""","ГБУЗ ""ГКБ ИМ. Д.Д. ПЛЕТНЁВА ДЗМ""",7719047184,11.11.21,30.12.21,ПАВЛИЧЕНКО ВАСИЛИЙ АЛЕКСАНДРОВИЧИндивидуальный предприниматель,504216501586,"ОБЛ МОСКОВСКАЯ 50, Г СЕРГИЕВ ПОСАД",+7 (925) 958-72-55,ippavlichenko@mail.ru,
№ 3503100604021000163,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=3503100604021000163,"500 000,00 ₽",АДМИНИСТРАЦИЯ БОГОРОДСКОГО ГОРОДСКОГО ОКРУГА МОСКОВСКОЙ ОБЛАСТИ,АДМИНИСТРАЦИЯ БОГОРОДСКОГО ГОРОДСКОГО ОКРУГА,5031006040,10.11.21,31.12.21,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЧИСТАЯ ПЛАНЕТА"" (ООО ""ЧИСТАЯ ПЛАНЕТА"")",5031105556,"ОБЛ. МОСКОВСКАЯ 50, Г. Ногинск, УЛ. ИЛЬИЧА, ПРОМПЛОЩАДКА 1, СТР. 1, ПОМЕЩ. 1",8-499-9624118,chistayaplaneta@bk.ru,
№ 2772942204221000015,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2772942204221000015,"685 801,48 ₽",УПРАВА РАЙОНА ПРОСПЕКТ ВЕРНАДСКОГО ГОРОДА МОСКВЫ,,7729422042,01.01.22,31.12.22,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ПРОСПЕКТ ВЕРНАДСКОГО"" (ГБУ ""ЖИЛИЩНИК РАЙОНА ПРОСПЕКТ ВЕРНАДСКОГО"")",7729787389,"119454, Г МОСКВА 77, ПР-КТ ВЕРНАДСКОГО, 62А, СТРОЕНИЕ 1",+7 (499) 431-19-20,gbuzakupki62@yandex.ru,
№ 2772940165221000134,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2772940165221000134,"4 516 360,00 ₽",ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ЦЕНТР ЗАНЯТОСТИ НАСЕЛЕНИЯ ГОРОДА МОСКВЫ,ГКУ ЦЗН,7729401652,01.01.22,31.12.23,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОСЭНЕРГОСБЫТ"" (АО ""МОСЭНЕРГОСБЫТ"")",7736520080,"117312, Г МОСКВА 77, УЛ ВАВИЛОВА, 9",+7 (499) 550-03-33,zhigovskaya_eg@mosenergosbyt.ru,
№ 2771433860921008522,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2771433860921008522,"1 231 849,08 ₽","ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""АГЕНТСТВО ПО ЗАКУПКАМ (КОНТРАКТНАЯ СЛУЖБА) ДЕПАРТАМЕНТА ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ""",ГКУ АЗ (КС) ДЗМ,7714338609,08.11.21,30.12.21,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""Р-ФАРМ"" (АО ""Р-ФАРМ"")",7726311464,"123154, Г МОСКВА 77, УЛ БЕРЗАРИНА, ДОМ 19, КОРПУС 1",+7 (495) 956-79-37,info@rpharm.ru,
№ 2771433860921008521,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2771433860921008521,"1 231 849,08 ₽","ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""АГЕНТСТВО ПО ЗАКУПКАМ (КОНТРАКТНАЯ СЛУЖБА) ДЕПАРТАМЕНТА ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ""",ГКУ АЗ (КС) ДЗМ,7714338609,08.11.21,30.12.21,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""Р-ФАРМ"" (АО ""Р-ФАРМ"")",7726311464,"123154, Г МОСКВА 77, УЛ БЕРЗАРИНА, ДОМ 19, КОРПУС 1",+7 (495) 956-79-37,info@rpharm.ru,
№ 2771433860921008520,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2771433860921008520,"1 231 849,08 ₽","ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""АГЕНТСТВО ПО ЗАКУПКАМ (КОНТРАКТНАЯ СЛУЖБА) ДЕПАРТАМЕНТА ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ""",ГКУ АЗ (КС) ДЗМ,7714338609,08.11.21,30.12.21,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""Р-ФАРМ"" (АО ""Р-ФАРМ"")",7726311464,"123154, Г МОСКВА 77, УЛ БЕРЗАРИНА, ДОМ 19, КОРПУС 1",+7 (495) 956-79-37,info@rpharm.ru,
№ 2771433860921008519,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2771433860921008519,"1 231 849,08 ₽","ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""АГЕНТСТВО ПО ЗАКУПКАМ (КОНТРАКТНАЯ СЛУЖБА) ДЕПАРТАМЕНТА ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ""",ГКУ АЗ (КС) ДЗМ,7714338609,08.11.21,30.12.21,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""Р-ФАРМ"" (АО ""Р-ФАРМ"")",7726311464,"123154, Г МОСКВА 77, УЛ БЕРЗАРИНА, ДОМ 19, КОРПУС 1",+7 (495) 956-79-37,info@rpharm.ru,
№ 3507271297621000004,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=3507271297621000004,"991 904,71 ₽","МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""БЕЛООМУТСКАЯ ОСНОВНАЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА № 2""","МБОУ ""БООШ №2""",5072712976,08.11.21,31.12.21,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПЦК"" (ООО ""ПЦК"")",7727686628,"105082, Г МОСКВА 77, ПЛ СПАРТАКОВСКАЯ, ДОМ 14, СТРОЕНИЕ 3, ЭТ 2 КОМ 9 ОФ 92",7-985-4855889,au2b@list.ru,
№ 2773305127021000228,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2773305127021000228,"6 807 952,06 ₽","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ ""ИНФЕКЦИОННАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА № 1 ДЕПАРТАМЕНТА ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ""","ГБУЗ ""ИКБ № 1 ДЗМ""",7733051270,10.11.21,31.12.21,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭВАЛАБ"" (ООО ""ЭВАЛАБ"")",9705152520,"109044, Г. МОСКВА 77, УЛ. КРУТИЦКАЯ, Д. 17, СТР. 6, ЭТАЖ 3 КАБ. 325",+7 (495) 105-67-12,info@ooo-evalab.ru,
№ 2770701146521000441,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2770701146521000441,"8 414 844,24 ₽","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ ""ГОРОДСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА № 24 ДЕПАРТАМЕНТА ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ""","ГБУЗ ""ГКБ № 24 ДЗМ""",7707011465,10.11.21,28.02.22,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ФАРМАТИКА-МК"" (ООО ""ФАРМАТИКА-МК"")",5829002513,"440513, ОБЛ ПЕНЗЕНСКАЯ 58, Р-Н ПЕНЗЕНСКИЙ, С ЗАСЕЧНОЕ, УЛ РАДУЖНАЯ, ДОМ 10",+7 (927) 374-32-45,farmatika-mk@yandex.ru,
№ 2773305127021000227,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2773305127021000227,"1 641 750,00 ₽","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ ""ИНФЕКЦИОННАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА № 1 ДЕПАРТАМЕНТА ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ""","ГБУЗ ""ИКБ № 1 ДЗМ""",7733051270,01.01.22,31.12.22,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛЕКС ФАРМ"" (ООО ""ЛЕКС ФАРМ"")",9705003744,"107061, Г МОСКВА 77, УЛ ХРОМОВА, ДОМ 20, ОФИС 34",+7 (495) 668-81-40,zakaz@leksfarm.ru,
№ 2773305127021000226,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2773305127021000226,"741 195,00 ₽","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ ""ИНФЕКЦИОННАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА № 1 ДЕПАРТАМЕНТА ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ""","ГБУЗ ""ИКБ № 1 ДЗМ""",7733051270,01.01.22,31.12.22,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БРИЗ"" (ООО ""БРИЗ"")",5042155213,"141304, ОБЛ. МОСКОВСКАЯ 50, Г. Сергиев Посад, УЛ. ФАБРИЧНАЯ, Д. 7, СКЛ. 1, ЭТАЖ 2 КОМ. 15",+7 (792) 661-55-79,breezefarm2020@gmail.com,
№ 2770405494321000062,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2770405494321000062,"1 252 745,92 ₽","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ ""БЮРО СУДЕБНО-МЕДИЦИНСКОЙ ЭКСПЕРТИЗЫ ДЕПАРТАМЕНТА ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ""",БЮРО СУДМЕДЭКСПЕРТИЗЫ,7704054943,08.11.21,31.12.21,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛАБТЕХ"" (ООО ""ЛАБТЕХ"")",7719408031,"105264, Г МОСКВА 77, Б-Р ИЗМАЙЛОВСКИЙ, ДОМ 1/28, ЭТАЖ;ПОМ;КОМН. 1;1А;21",+7 (795) 276-77-00,etp_lab@labteh.com,
№ 3503100604021000162,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=3503100604021000162,"28 707 790,40 ₽",АДМИНИСТРАЦИЯ БОГОРОДСКОГО ГОРОДСКОГО ОКРУГА МОСКОВСКОЙ ОБЛАСТИ,АДМИНИСТРАЦИЯ БОГОРОДСКОГО ГОРОДСКОГО ОКРУГА,5031006040,09.11.21,30.06.22,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СТРОИТЕЛЬНАЯ КОМПАНИЯ ""ГОРОД"" (ООО СК ""ГОРОД"")",5012085752,"143969, ОБЛ МОСКОВСКАЯ 50, Г РЕУТОВ, ПР-КТ ЮБИЛЕЙНЫЙ, 31, 116",7-925-4771864,skgorod5@yandex.ru,
№ 2771811085221000109,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2771811085221000109,"1 202 366,15 ₽","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ ""ГОРОДСКАЯ ПОЛИКЛИНИКА № 191 ДЕПАРТАМЕНТА ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ""","ГБУЗ ""ГП № 191 ДЗМ""",7718110852,11.11.21,31.12.21,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СПЕЦСНАБ"" (ООО ""СПЕЦСНАБ"")",7722337729,"117623, Г МОСКВА 77, УЛ ТАЛАЛИХИНА, ДОМ 41, СТРОЕНИЕ 9, ПОМ IX КОМ 15А",+7 (926) 214-88-68,info@ssrus.ru,
№ 2770182732021001373,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2770182732021001373,"2 883 301,71 ₽","ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ДИРЕКЦИЯ ПО ОБЕСПЕЧЕНИЮ ДЕЯТЕЛЬНОСТИ ОРГАНИЗАЦИЙ ТРУДА И СОЦИАЛЬНОЙ ЗАЩИТЫ НАСЕЛЕНИЯ ГОРОДА МОСКВЫ""","ГКУ ""ДИРЕКЦИЯ ОДОТСЗН Г. МОСКВЫ""",7701827320,08.11.21,31.12.21,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭВРИКА"" (ООО ""ЭВРИКА"")",7714843016,"125319, Г МОСКВА 77, УЛ ЧЕРНЯХОВСКОГО, ДОМ 17А, ЭТ/ПОМ/КОМ 3/XII/12",+7 (499) 503-03-54,evr@rqst.ru,
№ 2771433860921008512,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2771433860921008512,"6 824 749,63 ₽","ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""АГЕНТСТВО ПО ЗАКУПКАМ (КОНТРАКТНАЯ СЛУЖБА) ДЕПАРТАМЕНТА ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ""",ГКУ АЗ (КС) ДЗМ,7714338609,09.11.21,31.12.21,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИСТЕМА"" (ООО ""СИСТЕМА"")",7724443923,"115516, Г. МОСКВА 77, УЛ. ПРОМЫШЛЕННАЯ, Д. 11, СТР. 3, ЭТАЖ/ПОМ 4/I КОМ./ОФИС 19Б/10-4",+7 (926) 157-29-92,llc-sistema@yandex.ru,
№ 2773409151921001334,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2773409151921001334,"583 072,60 ₽","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ ""ГОРОДСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА № 67 ИМЕНИ Л. А. ВОРОХОБОВА ДЕПАРТАМЕНТА ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ""",ГКБ № 67,7734091519,10.11.21,30.12.21,ТРАЙТАК СЕРГЕЙ ДМИТРИЕВИЧИндивидуальный предприниматель,773704873547,Г МОСКВА 77,+7 (905) 348-28-85,6080995@gmail.com,
№ 2772389525021000070,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2772389525021000070,"9 926 048,45 ₽","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ПЕЧАТНИКИ""","ГБУ ""ЖИЛИЩНИК РАЙОНА ПЕЧАТНИКИ""",7723895250,01.01.22,31.12.23,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОСЭНЕРГОСБЫТ"" (АО ""МОСЭНЕРГОСБЫТ"")",7736520080,"117312, Г МОСКВА 77, УЛ ВАВИЛОВА, 9",+7 (499) 550-03-33,zhigovskaya_eg@mosenergosbyt.ru,
