Реестровый номер контракта,Ссылка на контракт,Цена контракта,Полное наименование заказчика,Сокращенное наименование заказчика,ИНН,Дата начала исполнения контракта,Дата окончания исполнения контракта,Наименование поставщика,ИНН поставщика,Адрес поставщика,Телефон поставщика,Почта Поставщика,
№ 2770321427021000067,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2770321427021000067,"5 910 597,00 ₽","ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ГОРОДА МОСКВЫ ""МОССВЕТ""","ГУП ""МОССВЕТ""",7703214270,01.01.22,31.12.22,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГАЗПРОМНЕФТЬ-РЕГИОНАЛЬНЫЕ ПРОДАЖИ"" (ООО ""ГАЗПРОМНЕФТЬ-РЕГИОНАЛЬНЫЕ ПРОДАЖИ"")",4703105075,"191014, Г САНКТ-ПЕТЕРБУРГ 78, ПЕР ВИЛЕНСКИЙ, ДОМ 14, ЛИТЕРА А, ОФИС 203",+7 (921) 995-38-86,trokhimchuk.ev@gpncard.ru,
№ 2771464495921000044,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2771464495921000044,"42 259 200,00 ₽","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""СПОРТИВНЫЙ КОМПЛЕКС ""МЕГАСПОРТ"" ДЕПАРТАМЕНТА СПОРТА ГОРОДА МОСКВЫ","ГБУ ""СК ""МЕГАСПОРТ"" МОСКОМСПОРТА, ГБУ ""СПОРТИВНЫЙ КОМПЛЕКС ""МЕГАСПОРТ"" МОСКОМСПОРТА",7714644959,01.01.22,31.12.22,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОСЭНЕРГОСБЫТ"" (АО ""МОСЭНЕРГОСБЫТ"")",7736520080,"117312, Г МОСКВА 77, УЛ ВАВИЛОВА, 9",+7 (499) 550-03-33,zhigovskaya_eg@mosenergosbyt.ru,
№ 3501901081221000016,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=3501901081221000016,"1 030 563,86 ₽","МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА№ 1""","МБОУ ""СОШ№ 1""",5019010812,01.01.22,31.12.22,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОМПЬЮЛИНК ИНФРАСТРУКТУРА КАШИРА"" (ООО ""КОМПЬЮЛИНК ИНФРАСТРУКТУРА КАШИРА"")",5019028390,"142900, ОБЛ МОСКОВСКАЯ 50, Г КАШИРА, УЛ СОВЕТСКАЯ, ДОМ 28, ПОМЕЩЕНИЕ 39",7-495-737-88-66,or_kash@mail.ru,
№ 2774391227121000052,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2774391227121000052,"9 544 107,60 ₽","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА СОКОЛ""","ГБУ ""ЖИЛИЩНИК РАЙОНА СОКОЛ""",7743912271,01.01.22,31.12.23,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ  ""ЧАСТНОЕ ОХРАННОЕ ПРЕДПРИЯТИЕ ""БАЯРД-ПУЛЬТОВАЯ ОХРАНА"" (ООО ""ЧОП ""БАЯРД-ПУЛЬТОВАЯ ОХРАНА"")",7722593458,"109542, Г МОСКВА 77, ПР-КТ РЯЗАНСКИЙ, ДОМ 86/1, СТРОЕНИЕ 1, ЭТ 5 КАБ 5",+7 (495) 777-13-24,lastochkin.rn@bayard-security.ru,
№ 2770823506621000335,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2770823506621000335,"7 504 177,72 ₽","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""КОЛЛЕДЖ ЖЕЛЕЗНОДОРОЖНОГО И ГОРОДСКОГО ТРАНСПОРТА""",ГБПОУ КЖГТ,7708235066,09.11.21,31.12.21,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АТТИКА-М"" (ООО ""АТТИКА-М"")",6330092508,"443528, ОБЛ. САМАРСКАЯ 63, Р-Н Волжский, ПГТ. Стройкерамика, УЛ. НАРОДНАЯ, Д. 11, КВ. 57",89677610090,Attika-m@bk.ru,
№ 2773001748021000187,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2773001748021000187,"1 117 320,00 ₽","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ ""ГОРОДСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА № 51 ДЕПАРТАМЕНТА ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ""","ГБУЗ ""ГКБ № 51 ДЗМ""",7730017480,08.11.21,31.12.21,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОРТОКАРД"" (ООО ""ОРТОКАРД"")",7731631100,"127238, Г МОСКВА 77, ПРОЕЗД ИЛЬМЕНСКИЙ, ДОМ 13, СТРОЕНИЕ 1, КОМНАТА  14",+7 (499) 488-24-95,ortocard@mail.ru,
№ 2773001748021000186,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2773001748021000186,"697 847,04 ₽","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ ""ГОРОДСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА № 51 ДЕПАРТАМЕНТА ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ""","ГБУЗ ""ГКБ № 51 ДЗМ""",7730017480,08.11.21,31.12.21,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЮНИКС"" (ООО ""ЮНИКС"")",7718910094,"109029, Г МОСКВА 77, ПРОЕЗД МИХАЙЛОВСКИЙ, ДОМ 3, СТРОЕНИЕ 13, ПОМ. I КОМН. 2",+7 (495) 783-42-09,2a-mebel@bk.ru,
№ 2502400219721000042,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2502400219721000042,"792 000,00 ₽","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ МОСКОВСКОЙ ОБЛАСТИ ""КРАСНОГОРСКИЙ КОЛЛЕДЖ""","ГБПОУ МО ""КРАСНОГОРСКИЙ КОЛЛЕДЖ""",5024002197,08.11.21,31.12.21,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЭЙФЕР"" (ООО ""СЭЙФЕР"")",7714947463,"127018, Г МОСКВА 77, УЛ СКЛАДОЧНАЯ, ДОМ 1, СТРОЕНИЕ 18, ПОДЪЕЗД 3 ЭТ 2/ОФИС 207",7-495-1510151,-,
№ 2772800747721000065,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2772800747721000065,"788 028,80 ₽","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ШКОЛА № 1101""",ГБОУ ШКОЛА № 1101,7728007477,10.11.21,29.07.22,Колчева Вероника,500307999467,"город Москва, поселение Мосрентген, поселок завода Мосрентген, дом 32 кв.37",+7 (926) 365-51-85,veronika_k11@mail.ru,
№ 2770425306421000147,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2770425306421000147,"2 832 865,87 ₽",ДЕПАРТАМЕНТ ТРУДА И СОЦИАЛЬНОЙ ЗАЩИТЫ НАСЕЛЕНИЯ ГОРОДА МОСКВЫ,ДТСЗН ГОРОДА МОСКВЫ,7704253064,09.11.21,31.12.21,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТЕХБЕЗОПАСНОСТЬ"" (ООО ""ТЕХБЕЗОПАСНОСТЬ"")",7724429196,"115409, Г МОСКВА 77, Ш КАШИРСКОЕ, ДОМ 56, КОРПУС 2, КВАРТИРА 49",+7 (916) 757-11-86,7571186@mail.ru,
№ 2770425306421000146,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2770425306421000146,"3 999 900,00 ₽",ДЕПАРТАМЕНТ ТРУДА И СОЦИАЛЬНОЙ ЗАЩИТЫ НАСЕЛЕНИЯ ГОРОДА МОСКВЫ,ДТСЗН ГОРОДА МОСКВЫ,7704253064,15.11.21,31.12.21,"НЕКОММЕРЧЕСКОЕ ПАРТНЕРСТВО ИНФОРМАЦИОННОЙ ПОДДЕРЖКИ И СОДЕЙСТВИЯ ИНТЕГРАЦИИ ИНВАЛИДОВ ""ОТКРЫТЫЙ МИР"" (НП ""ОТКРЫТЫЙ МИР"")",7729452449,"119619, Г МОСКВА 77, ПРОЕЗД БОРОВСКИЙ, ДОМ 18, КВАРТИРА 4",+7 (906) 760-08-58,Oksana@steptoperfection.ru,
№ 2770425306421000145,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2770425306421000145,"9 569 000,00 ₽",ДЕПАРТАМЕНТ ТРУДА И СОЦИАЛЬНОЙ ЗАЩИТЫ НАСЕЛЕНИЯ ГОРОДА МОСКВЫ,ДТСЗН ГОРОДА МОСКВЫ,7704253064,15.11.21,31.12.21,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МОСКОВСКИЙ ЦЕНТР ВОССТАНОВИТЕЛЬНОГО ЛЕЧЕНИЯ"" (ООО ""МЦВЛ"")",9731004293,"121552, Г МОСКВА 77, УЛ ОРШАНСКАЯ, ДОМ 16, СТРОЕНИЕ 1, ЭТ 1 КОМ 24",7(495)988-45-07,reab@lc.clinic,
№ 3501901171021000013,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=3501901171021000013,"756 542,51 ₽","МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ДОШКОЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ТАРАСКОВСКИЙ ДЕТСКИЙ САД""","МБДОУ ""ТАРАСКОВСКИЙ ДЕТСКИЙ САД""",5019011710,01.01.22,31.12.22,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЖИЛРЕСУРС"" (ООО ""ЖИЛРЕСУРС"")",5019019276,"142921, ОБЛ МОСКОВСКАЯ 50, Г КАШИРА, УЛ ПИОНЕРСКАЯ (ОЖЕРЕЛЬЕ МКР.), ДОМ 16",7496-694-84-44,gilresurs@mail.ru,
№ 2772401520521000543,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2772401520521000543,"1 752 521,30 ₽","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ ""ДИАГНОСТИЧЕСКИЙ ЦЕНТР (ЦЕНТР ЛАБОРАТОРНЫХ ИССЛЕДОВАНИЙ) ДЕПАРТАМЕНТА ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ""","ГБУЗ ""ДЦЛИ ДЗМ""",7724015205,10.11.21,31.12.21,МОРОЗОВ КИРИЛЛ ВИТАЛЬЕВИЧИндивидуальный предприниматель,773371682487,Г. МОСКВА 77,+7 (968) 653-23-99,morozov.k888@gmail.com,
№ 2772401520521000542,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2772401520521000542,"2 199 990,00 ₽","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ ""ДИАГНОСТИЧЕСКИЙ ЦЕНТР (ЦЕНТР ЛАБОРАТОРНЫХ ИССЛЕДОВАНИЙ) ДЕПАРТАМЕНТА ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ""","ГБУЗ ""ДЦЛИ ДЗМ""",7724015205,09.11.21,31.12.21,МАКАРОВА ЛЮДМИЛА АНДРЕЕВНАИндивидуальный предприниматель,860600078062,"Край Краснодарский 23, Город Новороссийск",+7 (345) 253-03-40,d.fokina@pip-mebel.ru,
№ 2771536002921000007,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2771536002921000007,"6 031 812,33 ₽","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ЦЕНТР СОДЕЙСТВИЯ СЕМЕЙНОМУ ВОСПИТАНИЮ ""ПОЛЯРНАЯ ЗВЕЗДА"" ДЕПАРТАМЕНТА ТРУДА И СОЦИАЛЬНОЙ ЗАЩИТЫ НАСЕЛЕНИЯ ГОРОДА МОСКВЫ","ГБУ ЦССВ ""ПОЛЯРНАЯ ЗВЕЗДА""",7715360029,15.11.21,31.12.23,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ  ""ЧАСТНОЕ ОХРАННОЕ ПРЕДПРИЯТИЕ ""БАЯРД-ПУЛЬТОВАЯ ОХРАНА"" (ООО ""ЧОП ""БАЯРД-ПУЛЬТОВАЯ ОХРАНА"")",7722593458,"109542, Г МОСКВА 77, ПР-КТ РЯЗАНСКИЙ, ДОМ 86/1, СТРОЕНИЕ 1, ЭТ 5 КАБ 5",+7 (495) 777-13-24,lastochkin.rn@bayard-security.ru,
№ 2771303455921000042,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2771303455921000042,"38 176 430,40 ₽",ПРЕФЕКТУРА СЕВЕРНОГО АДМИНИСТРАТИВНОГО ОКРУГА ГОРОДА МОСКВЫ,,7713034559,01.01.22,31.12.23,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ  ""ЧАСТНОЕ ОХРАННОЕ ПРЕДПРИЯТИЕ ""БАЯРД-ПУЛЬТОВАЯ ОХРАНА"" (ООО ""ЧОП ""БАЯРД-ПУЛЬТОВАЯ ОХРАНА"")",7722593458,"109542, Г МОСКВА 77, ПР-КТ РЯЗАНСКИЙ, ДОМ 86/1, СТРОЕНИЕ 1, ЭТ 5 КАБ 5",+7 (495) 777-13-24,lastochkin.rn@bayard-security.ru,
№ 2772719845121000117,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2772719845121000117,"4 936 950,78 ₽","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""АВТОМОБИЛЬНЫЕ ДОРОГИ ТРОИЦКОГО И НОВОМОСКОВСКОГО АДМИНИСТРАТИВНЫХ ОКРУГОВ ГОРОДА МОСКВЫ""","ГБУ ""АВТОМОБИЛЬНЫЕ ДОРОГИ ТИНАО""",7727198451,01.01.22,30.06.22,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРОЙИНВЕСТПАРТНЕР"" (ООО ""СТРОЙИНВЕСТПАРТНЕР"")",7701348399,"142160, Г МОСКВА 77, - ВОРОНОВСКОЕ, Д ЛЬВОВО, ВБЛИЗИ ДЕРЕВНИ, 67 КМ А/Д МОСКВА-РОСЛАВЛЬ",+7 (926) 690-86-86,d.tolkachenko@yandex.ru,
№ 2770906570921000132,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2770906570921000132,"1 320 504,99 ₽","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ ""ЦЕНТР ПАТОЛОГИИ РЕЧИ И НЕЙРОРЕАБИЛИТАЦИИ ДЕПАРТАМЕНТА ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ""","ГБУЗ ""ЦПРИН ДЗМ""",7709065709,10.11.21,31.12.21,СЕМЕНОВА ЕЛЕНА ВЯЧЕСЛАВОВНАИндивидуальный предприниматель,502905461044,"ОБЛ МОСКОВСКАЯ 50, Г МЫТИЩИ",+7 (925) 350-34-30,sem3now7@yandex.ru,
№ 2770503167421000082,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2770503167421000082,"6 937 338,37 ₽",ДЕПАРТАМЕНТ ГОРОДСКОГО ИМУЩЕСТВА ГОРОДА МОСКВЫ,,7705031674,09.11.21,31.12.21,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕРВИС-СБ"" (ООО ""СЕРВИС-СБ"")",7710888665,"143040, ОБЛ МОСКОВСКАЯ 50, Г ГОЛИЦЫНО, ПЛ ПРИВОКЗАЛЬНАЯ, ДОМ 1А, ПАВИЛЬОН 31",+7 (967) 021-58-47,baukovp@gmail.com,
№ 2770503167421000081,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2770503167421000081,"6 262 361,30 ₽",ДЕПАРТАМЕНТ ГОРОДСКОГО ИМУЩЕСТВА ГОРОДА МОСКВЫ,,7705031674,09.11.21,31.12.21,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТЕХАЛЬЯНС"" (ООО ""ТЕХАЛЬЯНС"")",7724385118,"111024, Г МОСКВА 77, УЛ 2-Я ЭНТУЗИАСТОВ, ДОМ 5, КОРПУС 40, ЭТ 2 ПОМ III КОМ 39А",+7 (916) 513-69-79,info@teh-alyans.ru,
